"Date","Close"
"10/2010","5,675.16"
"11/2010","5,528.27"
"12/2010","5,899.94"
"1/2011","5,862.94"
"2/2011","5,994.01"
"3/2011","5,908.76"
"4/2011","6,069.90"
"5/2011","5,989.99"
"6/2011","5,945.71"
"7/2011","5,815.19"
"8/2011","5,394.53"
"9/2011","5,128.48"
"10/2011","5,544.22"
"11/2011","5,505.42"
"12/2011","5,572.28"
"1/2012","5,681.61"
"2/2012","5,871.51"
"3/2012","5,768.45"
"4/2012","5,737.78"
"5/2012","5,320.86"
"6/2012","5,571.15"
"7/2012","5,635.28"
"8/2012","5,711.48"
"9/2012","5,742.07"
"10/2012","5,782.70"
"11/2012","5,866.82"
"12/2012","5,897.81"
"1/2013","6,276.88"
"2/2013","6,360.81"
"3/2013","6,411.74"
"4/2013","6,430.12"
"5/2013","6,583.09"
"6/2013","6,215.47"
"7/2013","6,621.06"
"8/2013","6,412.93"
"9/2013","6,462.22"
"10/2013","6,731.43"
"11/2013","6,650.57"
"12/2013","6,749.09"
"1/2014","6,510.44"
"2/2014","6,809.70"
"3/2014","6,598.37"
"4/2014","6,780.03"
"5/2014","6,844.51"
"6/2014","6,743.94"
"7/2014","6,730.11"
"8/2014","6,819.75"
"9/2014","6,622.72"
"10/2014","6,546.47"
"11/2014","6,722.62"
"12/2014","6,566.09"
"1/2015","6,749.40"
"2/2015","6,946.66"
"3/2015","6,773.04"
"4/2015","6,960.63"
"5/2015","6,984.43"
"6/2015","6,520.98"
"7/2015","6,696.28"
"8/2015","6,247.94"
"9/2015","6,061.61"
"10/2015","6,361.09"
"11/2015","6,356.09"
"12/2015","6,242.32"
"1/2016","6,083.79"
"2/2016","6,097.09"
"3/2016","6,174.90"
"4/2016","6,241.89"
"5/2016","6,230.79"
"6/2016","6,504.33"
"7/2016","6,724.43"
"8/2016","6,781.51"
"9/2016","6,899.33"
"10/2016","6,954.22"
"11/2016","6,783.79"
"12/2016","7,142.83"
"1/2017","7,099.15"
"2/2017","7,263.44"
"3/2017","7,322.92"
"4/2017","7,203.94"
"5/2017","7,519.95"
"6/2017","7,312.72"
"7/2017","7,372.00"
"8/2017","7,430.62"
"9/2017","7,372.76"
"10/2017","7,493.08"
"11/2017","7,326.67"
"12/2017","7,687.77"
"1/2018","7,533.55"
"2/2018","7,231.91"
"3/2018","7,056.61"
"4/2018","7,509.30"
"5/2018","7,678.20"
"6/2018","7,636.93"
"7/2018","7,748.76"
"8/2018","7,432.42"
"9/2018","7,510.20"
"10/2018","7,128.10"
"11/2018","6,980.24"
"12/2018","6,728.13"
"1/2019","6,968.85"
"2/2019","7,074.73"
"3/2019","7,279.19"
"4/2019","7,418.22"
"5/2019","7,161.71"
"6/2019","7,425.63"
"7/2019","7,586.78"
"8/2019","7,207.18"
"9/2019","7,408.21"
"10/2019","7,248.38"
"11/2019","7,346.53"
"12/2019","7,542.44"
"1/2020","7,286.01"
"2/2020","6,580.61"
"3/2020","5,671.96"
"4/2020","5,901.21"
"5/2020","6,076.60"
"6/2020","6,169.74"
"7/2020","5,897.76"
"8/2020","5,963.57"
"9/2020","5,866.10"
"10/2020","5,577.27"
"11/2020","6,266.19"
"12/2020","6,460.52"
"1/2021","6,407.46"
"2/2021","6,483.43"
"3/2021","6,713.63"
"4/2021","6,969.81"
"5/2021","7,022.61"
"6/2021","7,037.47"
"7/2021","7,032.30"
"8/2021","7,119.70"
"9/2021","7,086.42"
"10/2021","7,237.57"
"11/2021","7,059.45"
"12/2021","7,384.54"
"1/2022","7,464.37"
"2/2022","7,458.25"
"3/2022","7,515.68"
"4/2022","7,544.55"
"5/2022","7,607.66"
"6/2022","7,169.28"
"7/2022","7,423.43"
"8/2022","7,284.15"
"9/2022","6,893.81"
"10/2022","7,094.53"
"11/2022","7,573.05"
"12/2022","7,451.74"
"1/2023","7,771.70"
"2/2023","7,876.28"
"3/2023","7,631.74"
"4/2023","7,870.57"
"5/2023","7,446.14"
"6/2023","7,531.53"
"7/2023","7,699.41"
"8/2023","7,439.13"
"9/2023","7,608.08"
"10/2023","7,321.72"
"11/2023","7,453.75"
"12/2023","7,733.24"
"1/2024","7,630.57"
"2/2024","7,630.02"
"3/2024","7,952.62"
"4/2024","8,144.13"
"5/2024","8,275.38"
"6/2024","8,164.12"
"7/2024","8,367.98"
"8/2024","8,376.63"
"9/2024","8,236.95"
"10/2024","8,110.10"
"11/2024","8,287.30"
"12/2024","8,173.02"
"1/2025","8,673.96"
"2/2025","8,809.74"
"3/2025","8,582.81"
"4/2025","8,494.85"
"5/2025","8,772.38"
"6/2025","8,760.96"
"7/2025","9,132.81"
"8/2025","9,187.34"
"9/2025","9,350.43"
"10/2025","9,717.25"
