"Date","Close"
"10/2010","1,222.23"
"11/2010","1,193.56"
"12/2010","1,280.07"
"1/2011","1,308.08"
"2/2011","1,351.65"
"3/2011","1,334.93"
"4/2011","1,388.62"
"5/2011","1,354.61"
"6/2011","1,331.18"
"7/2011","1,306.05"
"8/2011","1,211.22"
"9/2011","1,104.06"
"10/2011","1,217.30"
"11/2011","1,184.60"
"12/2011","1,182.59"
"1/2012","1,240.89"
"2/2012","1,298.72"
"3/2012","1,312.01"
"4/2012","1,293.99"
"5/2012","1,177.64"
"6/2012","1,235.72"
"7/2012","1,250.57"
"8/2012","1,279.21"
"9/2012","1,311.50"
"10/2012","1,301.52"
"11/2012","1,315.49"
"12/2012","1,338.50"
"1/2013","1,405.47"
"2/2013","1,405.18"
"3/2013","1,434.51"
"4/2013","1,476.14"
"5/2013","1,471.93"
"6/2013","1,433.55"
"7/2013","1,507.91"
"8/2013","1,472.74"
"9/2013","1,543.67"
"10/2013","1,602.86"
"11/2013","1,628.42"
"12/2013","1,661.07"
"1/2014","1,598.46"
"2/2014","1,675.40"
"3/2014","1,673.87"
"4/2014","1,687.74"
"5/2014","1,715.18"
"6/2014","1,743.42"
"7/2014","1,714.35"
"8/2014","1,748.69"
"9/2014","1,698.41"
"10/2014","1,708.09"
"11/2014","1,739.50"
"12/2014","1,709.67"
"1/2015","1,677.54"
"2/2015","1,772.86"
"3/2015","1,740.81"
"4/2015","1,778.40"
"5/2015","1,779.31"
"6/2015","1,735.61"
"7/2015","1,765.60"
"8/2015","1,645.43"
"9/2015","1,581.92"
"10/2015","1,705.80"
"11/2015","1,694.40"
"12/2015","1,662.79"
"1/2016","1,562.18"
"2/2016","1,547.17"
"3/2016","1,648.12"
"4/2016","1,670.80"
"5/2016","1,674.61"
"6/2016","1,653.23"
"7/2016","1,721.79"
"8/2016","1,719.52"
"9/2016","1,725.67"
"10/2016","1,690.92"
"11/2016","1,712.09"
"12/2016","1,751.22"
"1/2017","1,792.40"
"2/2017","1,838.70"
"3/2017","1,853.69"
"4/2017","1,878.28"
"5/2017","1,911.74"
"6/2017","1,916.43"
"7/2017","1,961.10"
"8/2017","1,959.74"
"9/2017","2,000.55"
"10/2017","2,036.80"
"11/2017","2,077.36"
"12/2017","2,103.45"
"1/2018","2,213.24"
"2/2018","2,117.99"
"3/2018","2,066.85"
"4/2018","2,086.51"
"5/2018","2,092.92"
"6/2018","2,089.30"
"7/2018","2,153.10"
"8/2018","2,175.50"
"9/2018","2,184.01"
"10/2018","2,021.98"
"11/2018","2,041.36"
"12/2018","1,883.90"
"1/2019","2,028.49"
"2/2019","2,085.84"
"3/2019","2,107.74"
"4/2019","2,178.67"
"5/2019","2,046.25"
"6/2019","2,178.35"
"7/2019","2,187.56"
"8/2019","2,138.52"
"9/2019","2,180.02"
"10/2019","2,233.53"
"11/2019","2,292.26"
"12/2019","2,358.47"
"1/2020","2,342.41"
"2/2020","2,141.12"
"3/2020","1,852.73"
"4/2020","2,052.85"
"5/2020","2,147.88"
"6/2020","2,201.79"
"7/2020","2,304.98"
"8/2020","2,455.51"
"9/2020","2,367.27"
"10/2020","2,292.93"
"11/2020","2,583.14"
"12/2020","2,690.04"
"1/2021","2,661.69"
"2/2021","2,726.91"
"3/2021","2,811.70"
"4/2021","2,938.76"
"5/2021","2,975.70"
"6/2021","3,017.23"
"7/2021","3,069.25"
"8/2021","3,141.35"
"9/2021","3,006.60"
"10/2021","3,174.73"
"11/2021","3,101.80"
"12/2021","3,231.73"
"1/2022","3,059.05"
"2/2022","2,977.95"
"3/2022","3,053.07"
"4/2022","2,795.62"
"5/2022","2,791.01"
"6/2022","2,546.19"
"7/2022","2,746.36"
"8/2022","2,627.32"
"9/2022","2,378.65"
"10/2022","2,547.72"
"11/2022","2,720.89"
"12/2022","2,602.69"
"1/2023","2,785.00"
"2/2023","2,714.57"
"3/2023","2,791.44"
"4/2023","2,835.93"
"5/2023","2,800.56"
"6/2023","2,966.72"
"7/2023","3,064.30"
"8/2023","2,986.02"
"9/2023","2,853.24"
"10/2023","2,768.62"
"11/2023","3,023.63"
"12/2023","3,169.18"
"1/2024","3,205.32"
"2/2024","3,337.20"
"3/2024","3,437.76"
"4/2024","3,305.30"
"5/2024","3,445.17"
"6/2024","3,511.78"
"7/2024","3,571.57"
"8/2024","3,661.24"
"9/2024","3,723.03"
"10/2024","3,647.14"
"11/2024","3,810.14"
"12/2024","3,707.84"
"1/2025","3,836.58"
"2/2025","3,805.33"
"3/2025","3,628.64"
"4/2025","3,655.52"
"5/2025","3,863.48"
"6/2025","4,026.44"
"7/2025","4,076.04"
"8/2025","4,177.72"
"9/2025","4,306.70"
"10/2025","4,390.42"
