"Date","Close"
"10/2010","9,202.45"
"11/2010","9,937.04"
"12/2010","10,228.92"
"1/2011","10,237.92"
"2/2011","10,624.09"
"3/2011","9,755.10"
"4/2011","9,849.74"
"5/2011","9,693.73"
"6/2011","9,816.09"
"7/2011","9,833.03"
"8/2011","8,955.20"
"9/2011","8,700.29"
"10/2011","8,988.39"
"11/2011","8,434.61"
"12/2011","8,455.35"
"1/2012","8,802.51"
"2/2012","9,723.24"
"3/2012","10,083.56"
"4/2012","9,520.89"
"5/2012","8,542.73"
"6/2012","9,006.78"
"7/2012","8,695.06"
"8/2012","8,839.91"
"9/2012","8,870.16"
"10/2012","8,928.29"
"11/2012","9,446.01"
"12/2012","10,395.18"
"1/2013","11,138.66"
"2/2013","11,559.36"
"3/2013","12,397.91"
"4/2013","13,860.86"
"5/2013","13,774.54"
"6/2013","13,677.32"
"7/2013","13,668.32"
"8/2013","13,388.86"
"9/2013","14,455.80"
"10/2013","14,327.94"
"11/2013","15,661.87"
"12/2013","16,291.31"
"1/2014","14,914.53"
"2/2014","14,841.07"
"3/2014","14,827.83"
"4/2014","14,304.11"
"5/2014","14,632.38"
"6/2014","15,162.10"
"7/2014","15,620.77"
"8/2014","15,424.59"
"9/2014","16,173.52"
"10/2014","16,413.76"
"11/2014","17,459.85"
"12/2014","17,450.77"
"1/2015","17,674.39"
"2/2015","18,797.94"
"3/2015","19,206.99"
"4/2015","19,520.01"
"5/2015","20,563.15"
"6/2015","20,235.73"
"7/2015","20,585.24"
"8/2015","18,890.48"
"9/2015","17,388.15"
"10/2015","19,083.10"
"11/2015","19,747.47"
"12/2015","19,033.71"
"1/2016","17,518.30"
"2/2016","16,026.76"
"3/2016","16,758.67"
"4/2016","16,666.05"
"5/2016","17,234.98"
"6/2016","15,575.92"
"7/2016","16,569.27"
"8/2016","16,887.40"
"9/2016","16,449.84"
"10/2016","17,425.02"
"11/2016","18,308.48"
"12/2016","19,114.37"
"1/2017","19,041.34"
"2/2017","19,118.99"
"3/2017","18,909.26"
"4/2017","19,196.74"
"5/2017","19,650.57"
"6/2017","20,033.43"
"7/2017","19,925.18"
"8/2017","19,646.24"
"9/2017","20,356.28"
"10/2017","22,011.61"
"11/2017","22,724.96"
"12/2017","22,764.94"
"1/2018","23,098.29"
"2/2018","22,068.24"
"3/2018","21,454.30"
"4/2018","22,467.87"
"5/2018","22,201.82"
"6/2018","22,304.51"
"7/2018","22,553.72"
"8/2018","22,865.15"
"9/2018","24,120.04"
"10/2018","21,920.46"
"11/2018","22,351.06"
"12/2018","20,014.77"
"1/2019","20,773.49"
"2/2019","21,385.16"
"3/2019","21,205.81"
"4/2019","22,258.73"
"5/2019","20,601.19"
"6/2019","21,275.92"
"7/2019","21,521.53"
"8/2019","20,704.37"
"9/2019","21,755.84"
"10/2019","22,927.04"
"11/2019","23,293.91"
"12/2019","23,656.62"
"1/2020","23,205.18"
"2/2020","21,142.96"
"3/2020","18,917.01"
"4/2020","20,193.69"
"5/2020","21,877.89"
"6/2020","22,288.14"
"7/2020","21,710.00"
"8/2020","23,139.76"
"9/2020","23,185.12"
"10/2020","22,977.13"
"11/2020","26,433.62"
"12/2020","27,444.17"
"1/2021","27,663.39"
"2/2021","28,966.01"
"3/2021","29,178.80"
"4/2021","28,812.63"
"5/2021","28,860.08"
"6/2021","28,791.53"
"7/2021","27,283.59"
"8/2021","28,089.54"
"9/2021","29,452.66"
"10/2021","28,892.69"
"11/2021","27,821.76"
"12/2021","28,791.71"
"1/2022","27,001.98"
"2/2022","26,526.82"
"3/2022","27,821.43"
"4/2022","26,847.90"
"5/2022","27,279.80"
"6/2022","26,393.04"
"7/2022","27,801.64"
"8/2022","28,091.53"
"9/2022","25,937.21"
"10/2022","27,587.46"
"11/2022","27,968.99"
"12/2022","26,094.50"
"1/2023","27,327.11"
"2/2023","27,445.56"
"3/2023","28,041.48"
"4/2023","28,856.44"
"5/2023","30,887.88"
"6/2023","33,189.04"
"7/2023","33,172.22"
"8/2023","32,619.34"
"9/2023","31,857.62"
"10/2023","30,858.85"
"11/2023","33,486.89"
"12/2023","33,464.17"
"1/2024","36,286.71"
"2/2024","39,166.19"
"3/2024","40,369.44"
"4/2024","38,405.66"
"5/2024","38,487.90"
"6/2024","39,583.08"
"7/2024","39,101.82"
"8/2024","38,647.75"
"9/2024","37,919.55"
"10/2024","39,081.25"
"11/2024","38,208.03"
"12/2024","39,894.54"
"1/2025","39,572.49"
"2/2025","37,155.50"
"3/2025","35,617.56"
"4/2025","36,045.38"
"5/2025","37,965.10"
"6/2025","40,487.39"
"7/2025","41,069.82"
"8/2025","42,718.47"
"9/2025","44,932.63"
"10/2025","52,411.34"
