"Date","Close"
"10/2010","1,183.26"
"11/2010","1,180.55"
"12/2010","1,257.64"
"1/2011","1,286.12"
"2/2011","1,327.22"
"3/2011","1,325.83"
"4/2011","1,363.61"
"5/2011","1,345.20"
"6/2011","1,320.64"
"7/2011","1,292.28"
"8/2011","1,218.89"
"9/2011","1,131.42"
"10/2011","1,253.30"
"11/2011","1,246.96"
"12/2011","1,257.60"
"1/2012","1,312.41"
"2/2012","1,365.68"
"3/2012","1,408.47"
"4/2012","1,397.91"
"5/2012","1,310.33"
"6/2012","1,362.16"
"7/2012","1,379.32"
"8/2012","1,406.58"
"9/2012","1,440.67"
"10/2012","1,412.16"
"11/2012","1,416.18"
"12/2012","1,426.19"
"1/2013","1,498.11"
"2/2013","1,514.68"
"3/2013","1,569.19"
"4/2013","1,597.57"
"5/2013","1,630.74"
"6/2013","1,606.28"
"7/2013","1,685.73"
"8/2013","1,632.97"
"9/2013","1,681.55"
"10/2013","1,756.54"
"11/2013","1,805.81"
"12/2013","1,848.36"
"1/2014","1,782.59"
"2/2014","1,859.45"
"3/2014","1,872.34"
"4/2014","1,883.95"
"5/2014","1,923.57"
"6/2014","1,960.23"
"7/2014","1,930.67"
"8/2014","2,003.37"
"9/2014","1,972.29"
"10/2014","2,018.05"
"11/2014","2,067.56"
"12/2014","2,058.90"
"1/2015","1,994.99"
"2/2015","2,104.50"
"3/2015","2,067.89"
"4/2015","2,085.51"
"5/2015","2,107.39"
"6/2015","2,063.11"
"7/2015","2,103.84"
"8/2015","1,972.18"
"9/2015","1,920.03"
"10/2015","2,079.36"
"11/2015","2,080.41"
"12/2015","2,043.94"
"1/2016","1,940.24"
"2/2016","1,932.23"
"3/2016","2,059.74"
"4/2016","2,065.30"
"5/2016","2,096.96"
"6/2016","2,098.86"
"7/2016","2,173.60"
"8/2016","2,170.95"
"9/2016","2,168.27"
"10/2016","2,126.15"
"11/2016","2,198.81"
"12/2016","2,238.83"
"1/2017","2,278.87"
"2/2017","2,363.64"
"3/2017","2,362.72"
"4/2017","2,384.20"
"5/2017","2,411.80"
"6/2017","2,423.41"
"7/2017","2,470.30"
"8/2017","2,471.65"
"9/2017","2,519.36"
"10/2017","2,575.26"
"11/2017","2,647.58"
"12/2017","2,673.61"
"1/2018","2,823.81"
"2/2018","2,713.83"
"3/2018","2,640.87"
"4/2018","2,648.05"
"5/2018","2,705.27"
"6/2018","2,718.37"
"7/2018","2,816.29"
"8/2018","2,901.52"
"9/2018","2,913.98"
"10/2018","2,711.74"
"11/2018","2,760.17"
"12/2018","2,506.85"
"1/2019","2,704.10"
"2/2019","2,784.49"
"3/2019","2,834.40"
"4/2019","2,945.83"
"5/2019","2,752.06"
"6/2019","2,941.76"
"7/2019","2,980.38"
"8/2019","2,926.46"
"9/2019","2,976.74"
"10/2019","3,037.56"
"11/2019","3,140.98"
"12/2019","3,230.78"
"1/2020","3,225.52"
"2/2020","2,954.22"
"3/2020","2,584.59"
"4/2020","2,912.43"
"5/2020","3,044.31"
"6/2020","3,100.29"
"7/2020","3,271.12"
"8/2020","3,500.31"
"9/2020","3,363.00"
"10/2020","3,269.96"
"11/2020","3,621.63"
"12/2020","3,756.07"
"1/2021","3,714.24"
"2/2021","3,811.15"
"3/2021","3,972.89"
"4/2021","4,181.17"
"5/2021","4,204.11"
"6/2021","4,297.50"
"7/2021","4,395.26"
"8/2021","4,522.68"
"9/2021","4,307.54"
"10/2021","4,605.38"
"11/2021","4,567.00"
"12/2021","4,766.18"
"1/2022","4,515.55"
"2/2022","4,373.94"
"3/2022","4,530.41"
"4/2022","4,131.93"
"5/2022","4,132.15"
"6/2022","3,785.38"
"7/2022","4,130.29"
"8/2022","3,955.00"
"9/2022","3,585.62"
"10/2022","3,871.98"
"11/2022","4,080.11"
"12/2022","3,839.50"
"1/2023","4,076.60"
"2/2023","3,970.15"
"3/2023","4,109.31"
"4/2023","4,169.48"
"5/2023","4,179.83"
"6/2023","4,450.38"
"7/2023","4,588.96"
"8/2023","4,507.66"
"9/2023","4,288.05"
"10/2023","4,193.80"
"11/2023","4,567.80"
"12/2023","4,769.83"
"1/2024","4,845.65"
"2/2024","5,096.27"
"3/2024","5,254.35"
"4/2024","5,035.69"
"5/2024","5,277.51"
"6/2024","5,460.48"
"7/2024","5,522.30"
"8/2024","5,648.40"
"9/2024","5,762.48"
"10/2024","5,705.45"
"11/2024","6,032.38"
"12/2024","5,881.63"
"1/2025","6,040.53"
"2/2025","5,954.50"
"3/2025","5,611.85"
"4/2025","5,569.06"
"5/2025","5,911.69"
"6/2025","6,204.95"
"7/2025","6,339.39"
"8/2025","6,460.26"
"9/2025","6,688.46"
"10/2025","6,840.20"
