"Date","Close"
"10/2010","12,676.24"
"11/2010","12,952.88"
"12/2010","13,443.22"
"1/2011","13,551.99"
"2/2011","14,136.50"
"3/2011","14,116.10"
"4/2011","13,944.79"
"5/2011","13,802.88"
"6/2011","13,300.87"
"7/2011","12,945.63"
"8/2011","12,768.70"
"9/2011","11,623.84"
"10/2011","12,252.06"
"11/2011","12,204.11"
"12/2011","11,955.09"
"1/2012","12,452.15"
"2/2012","12,644.01"
"3/2012","12,392.18"
"4/2012","12,292.69"
"5/2012","11,513.21"
"6/2012","11,596.56"
"7/2012","11,664.71"
"8/2012","11,949.26"
"9/2012","12,317.46"
"10/2012","12,422.91"
"11/2012","12,239.36"
"12/2012","12,433.53"
"1/2013","12,685.24"
"2/2013","12,821.83"
"3/2013","12,749.90"
"4/2013","12,456.50"
"5/2013","12,650.42"
"6/2013","12,129.11"
"7/2013","12,486.64"
"8/2013","12,653.90"
"9/2013","12,787.19"
"10/2013","13,361.26"
"11/2013","13,395.40"
"12/2013","13,621.55"
"1/2014","13,694.94"
"2/2014","14,209.59"
"3/2014","14,335.31"
"4/2014","14,651.87"
"5/2014","14,604.16"
"6/2014","15,146.01"
"7/2014","15,330.74"
"8/2014","15,625.73"
"9/2014","14,960.51"
"10/2014","14,613.32"
"11/2014","14,744.70"
"12/2014","14,632.44"
"1/2015","14,673.48"
"2/2015","15,234.34"
"3/2015","14,902.44"
"4/2015","15,224.52"
"5/2015","15,014.09"
"6/2015","14,553.33"
"7/2015","14,468.44"
"8/2015","13,859.12"
"9/2015","13,306.96"
"10/2015","13,529.17"
"11/2015","13,469.83"
"12/2015","13,009.95"
"1/2016","12,822.13"
"2/2016","12,860.35"
"3/2016","13,494.36"
"4/2016","13,951.45"
"5/2016","14,065.78"
"6/2016","14,064.54"
"7/2016","14,582.74"
"8/2016","14,597.95"
"9/2016","14,725.86"
"10/2016","14,787.27"
"11/2016","15,082.85"
"12/2016","15,287.59"
"1/2017","15,385.96"
"2/2017","15,399.24"
"3/2017","15,547.75"
"4/2017","15,586.13"
"5/2017","15,349.91"
"6/2017","15,182.19"
"7/2017","15,143.87"
"8/2017","15,211.87"
"9/2017","15,634.94"
"10/2017","16,025.59"
"11/2017","16,067.48"
"12/2017","16,209.13"
"1/2018","15,951.67"
"2/2018","15,442.68"
"3/2018","15,367.29"
"4/2018","15,607.88"
"5/2018","16,061.50"
"6/2018","16,277.73"
"7/2018","16,434.01"
"8/2018","16,262.88"
"9/2018","16,073.14"
"10/2018","15,027.28"
"11/2018","15,197.82"
"12/2018","14,322.86"
"1/2019","15,540.60"
"2/2019","15,999.01"
"3/2019","16,102.09"
"4/2019","16,580.73"
"5/2019","16,037.49"
"6/2019","16,382.20"
"7/2019","16,406.56"
"8/2019","16,442.07"
"9/2019","16,658.63"
"10/2019","16,483.16"
"11/2019","17,040.20"
"12/2019","17,063.43"
"1/2020","17,318.49"
"2/2020","16,263.05"
"3/2020","13,378.75"
"4/2020","14,780.74"
"5/2020","15,192.83"
"6/2020","15,515.22"
"7/2020","16,169.20"
"8/2020","16,514.44"
"9/2020","16,121.38"
"10/2020","15,580.64"
"11/2020","17,190.25"
"12/2020","17,433.36"
"1/2021","17,337.02"
"2/2021","18,060.26"
"3/2021","18,700.67"
"4/2021","19,108.33"
"5/2021","19,730.99"
"6/2021","20,165.58"
"7/2021","20,287.80"
"8/2021","20,582.94"
"9/2021","20,070.25"
"10/2021","21,037.07"
"11/2021","20,659.99"
"12/2021","21,222.84"
"1/2022","21,098.29"
"2/2022","21,126.36"
"3/2022","21,890.16"
"4/2022","20,762.00"
"5/2022","20,729.34"
"6/2022","18,861.36"
"7/2022","19,692.92"
"8/2022","19,330.81"
"9/2022","18,444.22"
"10/2022","19,426.14"
"11/2022","20,453.26"
"12/2022","19,384.92"
"1/2023","20,767.38"
"2/2023","20,221.19"
"3/2023","20,099.89"
"4/2023","20,636.54"
"5/2023","19,572.24"
"6/2023","20,155.29"
"7/2023","20,626.64"
"8/2023","20,292.62"
"9/2023","19,541.27"
"10/2023","18,873.47"
"11/2023","20,236.29"
"12/2023","20,958.44"
"1/2024","21,021.88"
"2/2024","21,363.61"
"3/2024","22,167.03"
"4/2024","21,714.54"
"5/2024","22,269.12"
"6/2024","21,875.79"
"7/2024","23,110.81"
"8/2024","23,346.18"
"9/2024","24,000.37"
"10/2024","24,156.87"
"11/2024","25,648.00"
"12/2024","24,727.94"
"1/2025","25,533.10"
"2/2025","25,393.45"
"3/2025","24,917.50"
"4/2025","24,841.68"
"5/2025","26,175.05"
"6/2025","26,857.11"
"7/2025","27,259.78"
"8/2025","28,564.45"
"9/2025","30,022.81"
"10/2025","30,260.74"
